Date,Time,M
11-08-19,14:01,3.4
09-08-19,18:52,3
09-08-19,16:38,2.3
08-08-19,21:38,3.8
07-08-19,19:22,3.9
07-08-19,11:28,3.1
04-08-19,13:10,3.4
03-08-19,9:24,3.2
02-08-19,17:22,4.7
28-07-19,14:25,4.9
27-07-19,14:47,2.4
27-07-19,14:29,2.3
27-07-19,11:13,2.4
25-07-19,13:42,2.5
25-07-19,6:28,3.4
24-07-19,10:37,3.6
24-07-19,5:37,3.2
23-07-19,19:17,3.2
22-07-19,20:48,4
18-07-19,18:22,4.4
17-07-19,18:37,3.4
17-07-19,4:35,4
16-07-19,12:08,4
16-07-19,7:49,3.7
15-07-19,20:01,2.9
13-07-19,22:38,2.3
12-07-19,19:21,3.7
04-07-19,11:01,2.4
03-07-19,17:35,3.6
26-06-19,3:07,2.9
25-06-19,18:00,3.2
23-06-19,19:58,4.4
23-06-19,18:32,3
19-06-19,21:46,3.2
19-06-19,19:50,2.7
19-06-19,14:09,3
19-06-19,11:44,2.5
18-06-19,23:44,4.2
18-06-19,5:51,2.9
14-06-19,14:15,3.6
14-06-19,13:31,4
10-06-19,11:44,2.9
09-06-19,19:02,3.6
09-06-19,18:57,3.1
09-06-19,10:07,3
09-06-19,0:40,2.7
07-06-19,8:33,3.6
06-06-19,13:22,2.6
06-06-19,5:19,3.7
05-06-19,1:55,2.6
04-06-19,17:02,2.4
04-06-19,16:53,3.3
04-06-19,16:31,2.9
04-06-19,12:37,4
03-06-19,22:49,3.4
02-06-19,16:38,3.3
02-06-19,16:29,3.4
02-06-19,4:52,4.3
02-06-19,2:19,3
30-05-19,7:55,4.1
29-05-19,20:17,3.6
27-05-19,21:53,3.3
27-05-19,19:22,3.4
26-05-19,15:40,3.6
23-05-19,3:05,3.6
21-05-19,21:46,3.3
21-05-19,16:15,3.7
19-05-19,17:05,2.8
19-05-19,15:58,2.1
17-05-19,9:27,3.7
16-05-19,4:28,3.2
14-05-19,20:00,2.7
13-05-19,9:56,3.9
13-05-19,1:45,2.9
12-05-19,22:45,4.3
08-05-19,12:49,3.2
05-05-19,3:49,2.7
04-05-19,18:59,2.6
